8.12 -  Importaciones de productos seleccionados según secciones y capítulos de la Clasificación Uniforme para el Comercio  Internacional (CUCI) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sección ,Capítulo,CONCEPTO, UM,1998 ,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Valor total de las importaciones (a),MP,4.181.192,4.349.090,4.795.613,4.793.235,4.140.767,4.612.598,5.615.198,7.604.259,9.497.890,10.079.210,14.234.094,8.906.010,10.644.338,13.952.403,13.800.851,14.706.619,13.036.844,11.702.367,10.269.904,10.171.983,11.483.653,9.901.427,7.230.347,8.431.207,9.833.120,,,,,,
0 ,,   Productos alimenticios y animales vivos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,63.511,63.724,46.093,34.684,15.323,9.606,21.394,54.442,42.399,50.668,,55.456,158.933,198.502,158.818,207.858,220.466,244.903,277.242,206.115,236.872,215.543,172.188,177.882,102.776,,,,,,
,,      Tortas de soja,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,201.276,181.149,169.785,116.250,23.025,-,23.370,89.995,-,10 ,-,-,235.598,263.324,195.365,212.725,273.677,356.675,380.666,303.094,329.529,362.200,341.100,280.200,140.113,,,,,,
,,         Valor,MP,55.061,31.308,34.959,26.733,4.767,-,6.770,27.790,-,5 ,-,-,89.354,129.811,85.033,129.126,162.496,170.361,178.838,126.362,152.385,146.642,135.907,154.582,83.572,,,,,,
,,      Tortas de semillas de girasol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,30.960,41.454,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
,,         Valor,MP,4.052,15.920,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
,,      Harina animal para pienso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,128,6.494,3.719,3.071,523,559,446,612,318,520,571,217,365,516,537,1.361,841,1.304,1.342,1.187,997,1.290,1.018,1.406,300,,,,,,
,,         Valor,MP,84,4.587,3.077,3.033,330,431,346,493,380,684,681,234,630,896,869,2.573,1.466,2.576,2.418,1.978,1.588,1.995,1.515,2.355,536,,,,,,
,,      Preparados del tipo utilizado para la alimenta-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"       ción de animales, n.e.p.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,2.514,25.026,17.008,5.012,12.329,13.507,8.464,34.966,67.030,57.458,70.244,37.250,72.570,47.857,48.153,70.922,70.361,113.176,176.528,117.943,128.261,86.472,31.332,17.315,14.075,,,,,,
,,         Valor,MP,974,8.292,5.999,2.605,5.471,6.560,3.887,14.441,29.243,29.350,41.968,24.330,40.410,35.792,39.747,56.742,54.944,70.733,94.840,75.241,82.123,65.946,34.147,20.660,18.002,,,,,,
,09,    Productos y preparados comestibles diversos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,20.128,25.674,25.379,26.384,25.242,28.400,33.840,30.575,30.897,37.981,40.429,37.510,32.097,42.847,35.567,50.793,55.749,63.534,41.593,60.255,66.561,65.234,42.896,65.109,61.294,,,,,,
,,      Otros preparados alimenticios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,6.696,11.989,8.378,6.308,2.986,4.604,9.874,3.875,5.377,4.508,3.321,4.993,3.047,3.470,3.427,5.941,8.533,11.550,6.575,4.327,5.953,8.373,4.831,4.408,5.340,,,,,,
,,         Valor,MP,11.008,13.454,11.908,10.875,9.322,12.097,12.670,12.717,16.065,16.864,16.362,14.765,14.161,19.135,20.074,30.103,39.795,35.261,21.202,23.334,25.527,27.664,15.231,15.821,18.518,,,,,,
1,,Bebidas y tabaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,28.824,25.818,25.215,20.594,20.242,25.769,26.078,23.346,25.261,26.881,61.256,26.798,42.792,37.122,27.861,50.436,54.786,89.666,100.721,128.270,119.075,101.298,68.652,73.728,238.770,,,,,,
,11,       Bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,21.208,21.508,16.853,16.213,17.022,22.743,19.355,17.954,18.910,22.028,34.234,18.796,27.910,25.339,24.648,38.545,49.075,83.542,94.861,122.188,111.641,95.757,64.883,70.189,231.217,,,,,,
,,          Vinos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,            Cantidad,hl,33.103,31.542,30.340,31.936,34.399,37.941,35.005,36.381,41.098,50.020,56.933,40.658,67.933,50.895,52.667,58.184,54.883,63.332,71.597,67.572,68.439,46.307,30.779,17.945,4.592,,,,,,
,,            Valor,MP,4.860,5.890,6.389,5.711,6.892,7.172,7.094,7.215,8.204,9.108,10.384,7.721,12.901,10.231,10.185,12.227,12.779,14.610,15.790,15.747,15.576,11.993,7.904,5.059,14.979,,,,,,
,12,       Tabaco y sus productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,7.616,4.310,8.362,4.381,3.220,3.026,6.723,5.392,6.351,4.853,27.022,8.002,14.883,11.783,3.213,11.892,5.711,6.124,5.860,6.081,7.433,5.541,3.769,3.539,7.553,,,,,,
2,,"    Materiales crudos no comestibles,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,      excepto los combustibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,95.051,90.521,95.390,90.721,107.491,134.192,169.545,162.803,172.235,222.237,367.047,262.794,148.770,196.882,239.378,237.865,210.423,182.429,173.377,153.415,200.873,185.356,146.004,133.595,229.360,,,,,,
,21,"     Cueros, pieles y pieles finas, sin curtir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
